Id,Predicted
0, 0.36
1, 0.20
2, 0.53
3, 0.33
4, 0.82
5, 0.30
6, 0.56
7, 0.34
8, 0.45
9, 0.55
10, 0.51
11, 0.50
12, 0.45
13, 0.53
14, 0.80
15, 0.84
16, 0.79
17, 0.59
18, 0.53
19, 0.28
20, 0.46
21, 0.72
22, 0.42
23, 0.51
24, 0.49
25, 0.51
26, 0.57
27, 0.44
28, 0.54
29, 0.52
30, 0.52
31, 0.47
32, 0.58
33, 0.22
34, 0.49
35, 0.31
36, 0.46
37, 0.47
38, 0.41
39, 0.70
40, 0.59
41, 0.38
42, 0.56
43, 0.41
44, 0.75
45, 0.53
46, 0.52
47, 0.26
48, 0.48
49, 0.48
50, 0.31
51, 0.27
52, 0.15
53, 0.35
54, 0.42
55, 0.50
56, 0.49
57, 0.35
58, 0.22
59, 0.52
60, 0.58
61, 0.39
62, 0.25
63, 0.75
64, 0.79
65, 0.44
66, 0.65
67, 0.46
68, 0.23
69, 0.49
70, 0.58
71, 0.87
72, 0.74
73, 0.44
74, 0.24
75, 0.58
76, 0.52
77, 0.49
78, 0.45
79, 0.21
80, 0.55
81, 0.49
82, 0.51
83, 0.86
84, 0.56
85, 0.61
86, 0.53
87, 0.46
88, 0.52
89, 0.87
90, 0.48
91, 0.82
92, 0.58
93, 0.49
94, 0.72
95, 0.48
96, 0.18
97, 0.49
98, 0.82
99, 0.41
100, 0.52
101, 0.52
102, 0.20
103, 0.54
104, 0.59
105, 0.47
106, 0.42
107, 0.39
108, 0.44
109, 0.62
110, 0.20
111, 0.54
112, 0.35
113, 0.57
114, 0.50
115, 0.51
116, 0.48
117, 0.56
118, 0.26
119, 0.43
120, 0.28
121, 0.68
122, 0.49
123, 0.44
124, 0.45
125, 0.25
126, 0.58
127, 0.62
128, 0.57
129, 0.41
130, 0.23
131, 0.73
132, 0.27
133, 0.45
134, 0.49
135, 0.63
136, 0.34
137, 0.16
138, 0.52
139, 0.60
140, 0.52
141, 0.47
142, 0.63
143, 0.78
144, 0.81
145, 0.53
146, 0.44
147, 0.47
148, 0.44
149, 0.28
150, 0.37
151, 0.82
152, 0.23
153, 0.28
154, 0.50
155, 0.54
156, 0.40
157, 0.59
158, 0.50
159, 0.29
160, 0.50
161, 0.54
162, 0.65
163, 0.35
164, 0.47
165, 0.65
166, 0.36
167, 0.44
168, 0.85
169, 0.38
170, 0.42
171, 0.49
172, 0.72
173, 0.56
174, 0.38
175, 0.56
176, 0.29
177, 0.24
178, 0.57
179, 0.40
180, 0.39
181, 0.50
182, 0.68
183, 0.47
184, 0.32
185, 0.48
186, 0.50
187, 0.49
188, 0.59
189, 0.53
190, 0.67
191, 0.48
192, 0.54
193, 0.45
194, 0.33
195, 0.27
196, 0.48
197, 0.61
198, 0.29
199, 0.21
200, 0.44
201, 0.42
202, 0.46
203, 0.46
204, 0.72
205, 0.31
206, 0.23
207, 0.41
208, 0.80
209, 0.51
210, 0.36
211, 0.57
212, 0.37
213, 0.48
214, 0.38
215, 0.54
216, 0.56
217, 0.52
218, 0.43
219, 0.29
220, 0.28
221, 0.50
222, 0.37
223, 0.35
224, 0.50
225, 0.53
226, 0.41
227, 0.69
228, 0.58
229, 0.38
230, 0.15
231, 0.27
232, 0.50
233, 0.42
234, 0.39
235, 0.29
236, 0.56
237, 0.27
238, 0.54
239, 0.40
240, 0.46
241, 0.49
242, 0.22
243, 0.33
244, 0.51
245, 0.44
246, 0.52
247, 0.55
248, 0.51
249, 0.25
250, 0.77
251, 0.52
252, 0.47
253, 0.25
254, 0.46
255, 0.49
256, 0.55
257, 0.54
258, 0.53
259, 0.43
260, 0.20
261, 0.16
262, 0.36
263, 0.84
264, 0.49
265, 0.52
266, 0.42
267, 0.66
268, 0.42
269, 0.49
270, 0.53
271, 0.52
272, 0.48
273, 0.45
274, 0.64
275, 0.51
276, 0.38
277, 0.22
278, 0.59
279, 0.32
280, 0.85
281, 0.64
282, 0.89
283, 0.43
284, 0.60
285, 0.56
286, 0.48
287, 0.49
288, 0.85
289, 0.52
290, 0.55
291, 0.33
292, 0.76
293, 0.41
294, 0.33
295, 0.49
296, 0.28
297, 0.42
298, 0.53
299, 0.47
300, 0.46
301, 0.51
302, 0.38
303, 0.47
304, 0.45
305, 0.52
306, 0.45
307, 0.52
308, 0.45
309, 0.45
310, 0.53
311, 0.29
312, 0.86
313, 0.38
314, 0.51
315, 0.51
316, 0.54
317, 0.60
318, 0.39
319, 0.22
320, 0.27
321, 0.89
322, 0.23
323, 0.26
324, 0.59
325, 0.67
326, 0.53
327, 0.40
328, 0.38
329, 0.52
330, 0.49
331, 0.54
332, 0.27
333, 0.25
334, 0.84
335, 0.54
336, 0.38
337, 0.54
338, 0.50
339, 0.58
340, 0.53
341, 0.43
342, 0.41
343, 0.27
344, 0.81
345, 0.55
346, 0.39
347, 0.42
348, 0.40
349, 0.50
350, 0.76
351, 0.35
352, 0.57
353, 0.58
354, 0.50
355, 0.57
356, 0.45
357, 0.42
358, 0.41
359, 0.47
360, 0.36
361, 0.60
362, 0.47
363, 0.53
364, 0.50
365, 0.59
366, 0.55
367, 0.73
368, 0.46
369, 0.32
370, 0.44
371, 0.61
372, 0.42
373, 0.66
374, 0.77
375, 0.54
376, 0.50
377, 0.47
378, 0.52
379, 0.46
380, 0.53
381, 0.38
382, 0.26
383, 0.58
384, 0.56
385, 0.39
386, 0.26
387, 0.46
388, 0.59
389, 0.33
390, 0.80
391, 0.49
392, 0.58
393, 0.42
394, 0.52
395, 0.51
396, 0.52
397, 0.37
398, 0.48
399, 0.68
400, 0.55
401, 0.53
402, 0.51
403, 0.61
404, 0.27
405, 0.59
406, 0.36
407, 0.50
408, 0.35
409, 0.39
410, 0.25
411, 0.43
412, 0.48
413, 0.54
414, 0.20
415, 0.42
416, 0.41
417, 0.77
418, 0.48
419, 0.39
420, 0.56
421, 0.51
422, 0.47
423, 0.50
424, 0.85
425, 0.60
426, 0.52
427, 0.65
428, 0.86
429, 0.33
430, 0.45
431, 0.51
432, 0.61
433, 0.30
434, 0.89
435, 0.58
436, 0.46
437, 0.49
438, 0.47
439, 0.25
440, 0.77
441, 0.56
442, 0.29
443, 0.38
444, 0.63
445, 0.45
446, 0.51
447, 0.26
448, 0.45
449, 0.68
450, 0.35
451, 0.31
452, 0.60
453, 0.52
454, 0.48
455, 0.37
456, 0.42
457, 0.43
458, 0.54
459, 0.46
460, 0.65
461, 0.57
462, 0.57
463, 0.84
464, 0.82
465, 0.45
466, 0.55
467, 0.43
468, 0.80
469, 0.47
470, 0.47
471, 0.48
472, 0.36
473, 0.54
474, 0.76
475, 0.69
476, 0.88
477, 0.51
478, 0.25
479, 0.35
480, 0.48
481, 0.80
482, 0.86
483, 0.55
484, 0.35
485, 0.58
486, 0.29
487, 0.83
488, 0.44
489, 0.36
490, 0.29
491, 0.33
492, 0.44
493, 0.54
494, 0.47
495, 0.31
496, 0.18
497, 0.47
498, 0.68
499, 0.68
500, 0.69
501, 0.39
502, 0.29
503, 0.52
504, 0.59
505, 0.89
506, 0.53
507, 0.86
508, 0.52
509, 0.42
510, 0.56
511, 0.55
512, 0.42
513, 0.41
514, 0.42
515, 0.60
516, 0.23
517, 0.64
518, 0.35
519, 0.36
520, 0.30
521, 0.50
522, 0.35
523, 0.49
524, 0.51
525, 0.47
526, 0.44
527, 0.58
528, 0.54
529, 0.44
530, 0.46
531, 0.48
532, 0.40
533, 0.54
534, 0.35
535, 0.45
536, 0.43
537, 0.47
538, 0.54
539, 0.39
540, 0.81
541, 0.44
542, 0.56
543, 0.88
544, 0.49
545, 0.50
546, 0.83
547, 0.49
548, 0.40
549, 0.40
550, 0.42
551, 0.37
552, 0.83
553, 0.18
554, 0.60
555, 0.44
556, 0.27
557, 0.84
558, 0.57
559, 0.59
560, 0.51
561, 0.39
562, 0.65
563, 0.90
564, 0.44
565, 0.81
566, 0.31
567, 0.72
568, 0.29
569, 0.80
570, 0.48
571, 0.43
572, 0.62
573, 0.14
574, 0.51
575, 0.57
576, 0.62
577, 0.65
578, 0.51
579, 0.62
580, 0.49
581, 0.51
582, 0.40
583, 0.50
584, 0.39
585, 0.48
586, 0.29
587, 0.50
588, 0.40
589, 0.25
590, 0.42
591, 0.50
592, 0.58
593, 0.86
594, 0.47
595, 0.71
596, 0.43
597, 0.54
598, 0.51
599, 0.56
600, 0.53
601, 0.92
602, 0.68
603, 0.39
604, 0.61
605, 0.25
606, 0.34
607, 0.23
608, 0.85
609, 0.43
610, 0.49
611, 0.55
612, 0.42
613, 0.38
614, 0.53
615, 0.37
616, 0.41
617, 0.53
618, 0.35
619, 0.23
620, 0.52
621, 0.58
622, 0.46
623, 0.51
624, 0.37
625, 0.48
626, 0.36
627, 0.85
628, 0.53
629, 0.57
630, 0.52
631, 0.39
632, 0.29
633, 0.52
634, 0.77
635, 0.45
636, 0.88
637, 0.50
638, 0.32
639, 0.53
640, 0.31
641, 0.56
642, 0.58
643, 0.55
644, 0.58
645, 0.49
646, 0.33
647, 0.39
648, 0.81
649, 0.54
650, 0.34
651, 0.49
652, 0.59
653, 0.65
654, 0.78
655, 0.35
656, 0.59
657, 0.45
658, 0.39
659, 0.43
660, 0.84
661, 0.52
662, 0.51
663, 0.48
664, 0.39
665, 0.33
666, 0.37
667, 0.81
668, 0.52
669, 0.79
670, 0.49
671, 0.55
672, 0.85
673, 0.60
674, 0.48
675, 0.88
676, 0.29
677, 0.43
678, 0.20
679, 0.54
680, 0.87
681, 0.78
682, 0.47
683, 0.46
684, 0.44
685, 0.47
686, 0.49
687, 0.52
688, 0.33
689, 0.38
690, 0.57
691, 0.58
692, 0.49
693, 0.39
694, 0.63
695, 0.44
696, 0.60
697, 0.48
698, 0.43
699, 0.50
700, 0.34
701, 0.31
702, 0.46
703, 0.46
704, 0.31
705, 0.44
706, 0.33
707, 0.20
708, 0.35
709, 0.35
710, 0.85
711, 0.42
712, 0.51
713, 0.46
714, 0.48
715, 0.37
716, 0.32
717, 0.37
718, 0.43
719, 0.53
720, 0.24
721, 0.57
722, 0.29
723, 0.46
724, 0.35
725, 0.46
726, 0.48
727, 0.54
728, 0.47
729, 0.36
730, 0.36
731, 0.24
732, 0.43
733, 0.86
734, 0.34
735, 0.44
736, 0.57
737, 0.20
738, 0.52
739, 0.29
740, 0.47
741, 0.13
742, 0.41
743, 0.27
744, 0.76
745, 0.49
746, 0.35
747, 0.44
748, 0.36
749, 0.73
750, 0.49
751, 0.41
752, 0.56
753, 0.75
754, 0.49
755, 0.34
756, 0.52
757, 0.66
758, 0.25
759, 0.55
760, 0.16
761, 0.55
762, 0.43
763, 0.33
764, 0.34
765, 0.35
766, 0.67
767, 0.40
768, 0.34
769, 0.48
770, 0.56
771, 0.56
772, 0.46
773, 0.56
774, 0.47
775, 0.56
776, 0.63
777, 0.44
778, 0.55
779, 0.51
780, 0.49
781, 0.52
782, 0.67
783, 0.40
784, 0.59
785, 0.36
786, 0.46
787, 0.36
788, 0.75
789, 0.23
790, 0.38
791, 0.56
792, 0.45
793, 0.35
794, 0.47
795, 0.40
796, 0.25
797, 0.50
798, 0.55
799, 0.83
800, 0.54
801, 0.70
802, 0.48
803, 0.73
804, 0.38
805, 0.39
806, 0.45
807, 0.61
808, 0.23
809, 0.24
810, 0.42
811, 0.47
812, 0.79
813, 0.22
814, 0.46
815, 0.36
816, 0.53
817, 0.39
818, 0.56
819, 0.50
820, 0.51
821, 0.25
822, 0.63
823, 0.50
824, 0.32
825, 0.32
826, 0.53
827, 0.60
828, 0.76
829, 0.52
830, 0.28
831, 0.59
832, 0.43
833, 0.52
834, 0.49
835, 0.46
836, 0.67
837, 0.46
838, 0.59
839, 0.52
840, 0.32
841, 0.48
842, 0.39
843, 0.55
844, 0.31
845, 0.39
846, 0.61
847, 0.20
848, 0.38
849, 0.48
850, 0.28
851, 0.52
852, 0.35
853, 0.56
854, 0.56
855, 0.87
856, 0.41
857, 0.44
858, 0.47
859, 0.58
860, 0.62
861, 0.47
862, 0.63
863, 0.45
864, 0.63
865, 0.52
866, 0.43
867, 0.25
868, 0.55
869, 0.42
870, 0.29
871, 0.56
872, 0.79
873, 0.81
874, 0.30
875, 0.21
876, 0.43
877, 0.48
878, 0.41
879, 0.60
880, 0.57
881, 0.43
882, 0.39
883, 0.48
884, 0.36
885, 0.41
886, 0.85
887, 0.43
888, 0.60
889, 0.41
890, 0.74
891, 0.45
892, 0.63
893, 0.34
894, 0.82
895, 0.54
896, 0.50
897, 0.48
898, 0.55
899, 0.28
900, 0.49
901, 0.59
902, 0.50
903, 0.47
904, 0.84
905, 0.88
906, 0.44
907, 0.53
908, 0.30
909, 0.47
910, 0.69
911, 0.60
912, 0.29
913, 0.41
914, 0.24
915, 0.41
916, 0.54
917, 0.90
918, 0.39
919, 0.58
920, 0.46
921, 0.48
922, 0.41
923, 0.57
924, 0.64
925, 0.47
926, 0.42
927, 0.87
928, 0.25
929, 0.73
930, 0.51
931, 0.41
932, 0.39
933, 0.44
934, 0.49
935, 0.36
936, 0.50
937, 0.36
938, 0.48
939, 0.68
940, 0.51
941, 0.24
942, 0.41
943, 0.54
944, 0.42
945, 0.39
946, 0.50
947, 0.87
948, 0.34
949, 0.45
950, 0.54
951, 0.48
952, 0.36
953, 0.56
954, 0.39
955, 0.37
956, 0.48
957, 0.51
958, 0.50
959, 0.37
960, 0.32
961, 0.48
962, 0.52
963, 0.61
964, 0.46
965, 0.36
966, 0.44
967, 0.56
968, 0.40
969, 0.54
970, 0.38
971, 0.18
972, 0.56
973, 0.17
974, 0.56
975, 0.58
976, 0.58
977, 0.54
978, 0.43
979, 0.50
980, 0.51
981, 0.50
982, 0.52
983, 0.53
984, 0.42
985, 0.44
986, 0.42
987, 0.49
988, 0.55
989, 0.47
990, 0.30
991, 0.36
992, 0.43
993, 0.39
994, 0.27
995, 0.41
996, 0.50
997, 0.48
998, 0.35
999, 0.51
1000, 0.42
1001, 0.44
1002, 0.38
1003, 0.53
1004, 0.86
1005, 0.44
1006, 0.35
1007, 0.82
1008, 0.46
1009, 0.35
1010, 0.38
1011, 0.40
1012, 0.53
1013, 0.46
1014, 0.18
1015, 0.41
1016, 0.60
1017, 0.49
1018, 0.49
1019, 0.64
1020, 0.31
1021, 0.61
1022, 0.48
1023, 0.49
1024, 0.50
1025, 0.33
1026, 0.85
1027, 0.67
1028, 0.89
1029, 0.48
1030, 0.39
1031, 0.75
1032, 0.48
1033, 0.45
1034, 0.55
1035, 0.75
1036, 0.51
1037, 0.45
1038, 0.50
1039, 0.57
1040, 0.53
1041, 0.60
1042, 0.84
1043, 0.44
1044, 0.42
1045, 0.67
1046, 0.40
1047, 0.40
1048, 0.38
1049, 0.35
1050, 0.36
1051, 0.71
1052, 0.59
1053, 0.25
1054, 0.29
1055, 0.84
1056, 0.16
1057, 0.35
1058, 0.54
1059, 0.51
1060, 0.60
1061, 0.49
1062, 0.49
1063, 0.54
1064, 0.85
1065, 0.47
1066, 0.93
1067, 0.36
1068, 0.43
1069, 0.55
1070, 0.68
1071, 0.52
1072, 0.58
1073, 0.65
1074, 0.25
1075, 0.26
1076, 0.40
1077, 0.42
1078, 0.43
1079, 0.24
1080, 0.31
1081, 0.39
1082, 0.45
1083, 0.85
1084, 0.56
1085, 0.61
1086, 0.43
1087, 0.50
1088, 0.58
1089, 0.51
1090, 0.54
1091, 0.48
1092, 0.33
1093, 0.45
1094, 0.37
1095, 0.52
1096, 0.43
1097, 0.46
1098, 0.62
1099, 0.44
1100, 0.58
1101, 0.40
1102, 0.60
1103, 0.49
1104, 0.46
1105, 0.48
1106, 0.33
1107, 0.45
1108, 0.34
1109, 0.31
1110, 0.53
1111, 0.39
1112, 0.49
1113, 0.54
1114, 0.78
1115, 0.57
1116, 0.46
1117, 0.32
1118, 0.50
1119, 0.66
1120, 0.76
1121, 0.35
1122, 0.43
1123, 0.58
1124, 0.77
1125, 0.38
1126, 0.42
1127, 0.43
1128, 0.61
1129, 0.30
1130, 0.50
1131, 0.46
1132, 0.53
1133, 0.50
1134, 0.43
1135, 0.33
1136, 0.37
1137, 0.40
1138, 0.52
1139, 0.44
1140, 0.77
1141, 0.26
1142, 0.34
1143, 0.65
1144, 0.55
1145, 0.42
1146, 0.48
1147, 0.33
1148, 0.82
1149, 0.85
1150, 0.50
1151, 0.37
1152, 0.81
1153, 0.30
1154, 0.26
1155, 0.23
1156, 0.30
1157, 0.42
1158, 0.46
1159, 0.55
1160, 0.53
1161, 0.46
1162, 0.46
1163, 0.46
1164, 0.41
1165, 0.83
1166, 0.51
1167, 0.50
1168, 0.55
1169, 0.52
1170, 0.40
1171, 0.49
1172, 0.85
1173, 0.46
1174, 0.88
1175, 0.55
1176, 0.55
1177, 0.43
1178, 0.46
1179, 0.47
1180, 0.38
1181, 0.42
1182, 0.37
1183, 0.51
1184, 0.67
1185, 0.52
1186, 0.84
1187, 0.59
1188, 0.40
1189, 0.51
1190, 0.45
1191, 0.82
1192, 0.44
1193, 0.62
1194, 0.52
1195, 0.53
1196, 0.43
1197, 0.37
1198, 0.47
1199, 0.85
1200, 0.44
1201, 0.44
1202, 0.41
1203, 0.88
1204, 0.50
1205, 0.46
1206, 0.44
1207, 0.47
1208, 0.37
1209, 0.27
1210, 0.50
1211, 0.65
1212, 0.56
1213, 0.63
1214, 0.44
1215, 0.54
1216, 0.53
1217, 0.16
1218, 0.44
1219, 0.51
1220, 0.21
1221, 0.76
1222, 0.56
1223, 0.57
1224, 0.67
1225, 0.35
1226, 0.50
1227, 0.27
1228, 0.59
1229, 0.52
1230, 0.60
1231, 0.54
1232, 0.59
1233, 0.46
1234, 0.61
1235, 0.47
1236, 0.54
1237, 0.42
1238, 0.57
1239, 0.28
1240, 0.51
1241, 0.33
1242, 0.54
1243, 0.68
1244, 0.45
1245, 0.57
1246, 0.43
1247, 0.23
1248, 0.67
1249, 0.46
1250, 0.50
1251, 0.51
1252, 0.61
1253, 0.52
1254, 0.45
1255, 0.51
1256, 0.86
